death_date, 0-4, 5-9, 10-14, 15-19, 20-24, 25-29, 30-34, 35-39, 40-44, 45-49, 50-54, 55-59, 60-64, 65-69, 70-74, 75-79, 80-84, 85-89, 90-94, 95-99, 100-104, 105-109, 110-114, 115-119,all_age_groups
2020-12-25,5,,,,1,1,,1,9,11,5,18,10,18,14,5,16,13,2,2,,,,,131
2020-12-26,1,1,,1,,1,2,5,11,8,7,13,12,11,15,11,9,5,7,,,,,,120
2020-12-27,2,,,2,2,1,5,3,3,14,7,10,18,14,15,7,12,4,8,1,1,,,,129
2020-12-28,5,,,1,1,2,6,2,3,9,17,11,11,22,10,7,10,7,3,1,,,,,128
2020-12-29,3,,1,3,1,5,1,5,6,13,6,17,17,13,17,12,8,3,3,,1,,,,135
2020-12-30,10,1,,,2,5,4,1,7,12,9,13,12,8,14,12,12,5,4,1,,,,,132
2020-12-31,,,,,1,3,4,6,9,13,7,14,17,14,14,12,10,8,4,,,,,,136
2021-01-01,1,,1,1,3,3,6,2,9,7,10,10,9,8,16,9,16,6,2,,,,,,119
2021-01-02,3,,,3,2,2,4,5,8,9,9,12,10,17,14,13,8,10,4,,,,,,133
2021-01-03,2,,,1,1,1,3,1,3,6,7,8,15,14,15,8,14,5,4,,1,,,,109
2021-01-04,3,,,,2,1,3,1,9,11,8,10,13,13,18,8,6,5,1,,,,,,112
2021-01-05,4,1,2,,6,1,2,4,9,8,5,13,9,12,11,13,10,8,2,2,,,,,122
2021-01-06,7,1,,1,3,1,2,6,7,5,14,6,13,16,15,14,7,6,2,3,1,,,,130
2021-01-07,4,,,,2,5,4,5,8,6,7,9,7,13,10,10,14,4,2,,,,,,110
2021-01-08,4,,,,2,3,3,6,6,8,7,22,14,14,12,6,6,9,4,1,,,,,127
2021-01-09,5,,1,2,,4,3,4,4,5,7,12,14,14,10,9,3,8,3,1,,,,,109
2021-01-10,5,,2,,3,2,2,5,6,10,11,9,11,14,13,8,10,3,4,,,,,,118
2021-01-11,3,,,1,5,,5,4,5,4,6,9,14,17,15,7,12,4,3,,,,,,114
2021-01-12,2,,,1,3,4,2,6,4,6,6,5,5,14,11,12,4,8,6,,,,,,99
2021-01-13,3,1,,,1,,2,2,6,8,12,6,6,13,13,6,3,4,6,3,,,,,95
2021-01-14,2,,1,3,8,2,2,2,5,7,7,7,7,9,9,11,11,7,4,,,,,,104
2021-01-15,3,,,2,3,2,3,5,6,13,17,8,20,14,15,17,9,4,3,,,,,,144
2021-01-16,5,1,,1,,4,,9,2,4,13,10,9,16,11,6,12,6,4,1,,,,,114
2021-01-17,1,,1,,2,4,6,3,4,8,4,9,15,10,9,11,11,3,3,2,,,,,106
2021-01-18,,,,1,,1,4,6,8,8,4,11,15,17,15,10,13,2,5,2,,,,,122
2021-01-19,,,,3,2,2,3,4,4,11,9,11,15,13,12,12,8,3,7,1,,,,,120
2021-01-20,2,,1,1,3,2,1,5,3,9,6,12,14,10,9,8,10,5,1,2,,,,,104
2021-01-21,1,,,3,2,3,,8,9,8,10,13,11,14,10,15,8,5,4,,,,,,124
2021-01-22,1,1,1,1,,2,4,4,6,7,10,13,19,12,12,13,5,3,1,,,,,,115
2021-01-23,2,,,1,4,3,2,4,4,10,9,12,12,12,15,10,12,9,2,,,,,,123
2021-01-24,3,,,1,1,2,2,1,8,6,9,7,19,11,16,9,7,4,3,,,,,,109
2021-01-25,2,,2,1,,2,2,5,8,12,8,16,7,15,10,4,5,9,5,1,,,,,114
2021-01-26,1,1,1,2,3,2,8,6,6,7,6,11,11,8,12,14,8,4,5,1,,,,,117
2021-01-27,,,,1,4,1,3,1,6,4,12,10,11,17,9,14,8,5,2,,,,,,108
2021-01-28,1,,,2,2,1,2,,5,7,9,11,13,18,18,8,6,1,1,,1,,,,106
2021-01-29,6,,,,1,4,4,7,3,6,5,10,13,7,11,8,6,4,8,,,,,,103
2021-01-30,1,1,1,,5,3,1,2,8,8,11,9,6,8,12,7,10,3,6,1,,,,,103
2021-01-31,4,,1,1,,2,4,1,2,6,7,9,13,10,12,16,9,8,6,1,,,,,112
2021-02-01,,,1,1,2,2,4,6,1,11,8,10,17,8,9,9,9,9,2,2,,,,,111
2021-02-02,1,,,2,3,4,1,9,3,8,7,9,6,12,13,10,7,1,2,1,,,,,99
2021-02-03,4,,1,,,1,4,2,5,6,7,12,12,7,10,16,7,4,4,,,,,,102
2021-02-04,2,,,1,2,3,4,8,2,9,7,8,10,19,15,6,10,3,1,1,,,,,111
2021-02-05,4,,,,,1,2,3,5,7,13,7,8,11,10,8,7,7,5,,1,,,,99
2021-02-06,1,,1,,1,2,3,7,6,9,7,9,20,6,16,14,9,5,3,,,,,,119
2021-02-07,2,,3,1,3,1,3,2,5,3,9,11,8,10,9,10,10,3,1,,1,,,,95
2021-02-08,6,1,1,,2,3,3,2,8,4,2,20,17,7,20,7,9,1,4,1,,,,,118
2021-02-09,1,,,1,,4,1,5,7,9,6,11,13,7,9,14,6,8,1,1,,,,,104
2021-02-10,2,,2,1,3,2,3,6,7,5,5,13,7,15,11,10,5,5,5,2,,,,,109
2021-02-11,2,,2,5,3,3,,3,5,5,7,9,13,11,11,5,10,5,2,,,,,,101
2021-02-12,2,,1,,2,1,2,2,5,7,9,15,21,18,15,9,8,7,,1,,,,,125
2021-02-13,,,,,5,2,3,3,6,6,9,7,11,19,12,7,9,4,5,2,,,,,110
2021-02-14,3,,,,2,2,1,6,4,4,9,7,13,9,5,14,12,8,3,2,,,,,104
2021-02-15,3,,,2,,,2,8,9,6,16,8,9,9,12,11,6,9,3,2,,,,,115
2021-02-16,5,,,,4,3,1,2,7,8,6,13,11,11,11,13,6,3,4,2,,,,,110
2021-02-17,2,,,,1,2,5,4,3,9,12,16,18,19,7,10,8,1,1,,,,,,118
2021-02-18,3,,,1,1,2,2,5,8,4,11,5,12,22,8,9,14,12,5,,,,,,124
2021-02-19,3,2,,3,5,1,2,,8,11,11,15,14,10,8,8,16,8,4,1,,,,,130
2021-02-20,2,,1,,,,4,2,10,11,7,6,12,9,13,8,8,5,3,,,,,,101
2021-02-21,1,1,1,1,3,1,2,,2,5,9,11,9,7,14,16,11,2,3,2,,,,,101
2021-02-22,3,,1,4,1,1,3,2,4,8,14,8,9,10,13,11,8,5,,,,,,,105
2021-02-23,3,,,1,5,1,2,4,7,9,8,15,20,8,8,9,7,3,2,1,,,,,113
2021-02-24,1,,1,1,6,3,5,4,2,6,12,6,13,12,10,8,6,8,5,,,,,,109
2021-02-25,2,1,1,2,,2,2,1,4,5,7,12,11,15,11,7,9,4,2,1,,,,,99
2021-02-26,5,1,,,,2,2,,6,4,6,9,7,5,16,12,8,3,4,,,,,,90
2021-02-27,,2,,1,1,,2,3,4,11,10,14,12,9,11,11,5,7,1,,,,,,104
2021-02-28,1,,1,,2,4,3,5,3,10,14,17,9,4,12,11,6,10,1,,,,,,113
2021-03-01,3,1,,2,,1,,2,7,8,4,14,16,17,6,14,9,7,1,,1,,,,113
2021-03-02,2,1,,1,1,1,1,2,9,9,9,7,19,13,11,11,4,5,1,,,,,,107
2021-03-03,3,,,2,7,,3,2,5,9,12,11,9,11,19,12,11,4,2,2,,,,,124
2021-03-04,3,,,,4,2,2,3,4,3,14,13,16,6,8,9,8,5,1,,,,,,101
2021-03-05,1,,,1,1,2,4,3,9,8,10,13,7,7,9,6,6,3,1,,,,,,91
2021-03-06,1,,,,3,1,3,5,7,12,8,9,10,9,16,6,5,2,4,2,1,,,,104
2021-03-07,1,,,1,,3,5,9,4,7,4,9,12,8,12,8,6,6,6,1,,,,,102
2021-03-08,2,,2,1,3,2,,5,6,9,6,16,13,7,19,13,10,4,5,1,,,,,124
2021-03-09,1,,1,,1,1,1,6,6,8,12,9,9,10,14,10,8,5,2,2,,,,,106
2021-03-10,5,,,2,1,1,4,8,5,8,10,8,12,12,4,8,8,5,,2,,,,,103
2021-03-11,2,,1,2,,3,1,5,6,4,9,8,14,12,18,8,12,3,,2,,,,,110
2021-03-12,1,1,,,4,3,2,4,4,4,8,10,11,15,12,6,8,2,2,,,,,,97
2021-03-13,2,1,,,1,2,1,3,9,4,12,19,13,8,9,9,8,4,1,,,,,,106
2021-03-14,1,,,,1,3,3,5,6,1,8,12,11,9,15,8,9,6,1,1,,,,,100
2021-03-15,1,,,,3,2,1,3,3,4,8,7,6,8,15,9,10,6,2,2,,,,,90
2021-03-16,1,,2,1,,4,6,2,4,10,12,9,12,17,16,9,9,8,2,,,,,,124
2021-03-17,4,1,,1,2,,4,2,6,8,8,12,4,14,10,13,8,6,3,1,,,,,107
2021-03-18,4,,,3,1,2,1,5,3,6,11,13,5,18,8,7,10,5,1,,,,,,103
2021-03-19,3,,,,1,4,3,5,4,6,4,10,10,8,15,9,6,4,5,,,,,,97
2021-03-20,3,,,2,1,2,3,2,5,6,7,8,14,8,11,7,7,1,3,,,,,,90
2021-03-21,3,,1,1,1,2,1,5,7,8,8,10,13,10,11,5,8,3,2,2,,,,,101
2021-03-22,4,,,1,2,,4,3,3,8,18,8,8,16,15,11,6,6,2,,,,,,115
2021-03-23,4,1,,4,1,,,7,5,10,6,8,7,13,13,8,6,3,2,1,,,,,99
2021-03-24,4,,,1,2,4,2,4,6,4,8,9,5,11,15,10,6,5,5,1,,,,,102
2021-03-25,1,,,,,3,4,7,4,6,12,14,10,13,12,8,6,2,,,,,,,102
2021-03-26,1,1,,2,2,4,2,7,9,15,5,10,16,16,14,9,5,2,3,1,,,,,124
2021-03-27,4,,3,1,1,2,2,4,5,12,10,8,9,13,10,13,6,4,1,,,,,,108
2021-03-28,2,,,2,1,,,2,4,10,10,10,12,12,10,16,7,5,3,,,,,,106
2021-03-29,2,,,1,2,2,5,8,5,6,7,12,13,10,13,9,16,8,1,1,,,,,121
2021-03-30,2,,1,3,3,2,2,4,2,6,11,8,16,20,7,11,7,7,2,2,,,,,116
2021-03-31,1,,1,1,1,4,4,5,4,12,9,8,15,13,15,9,14,6,1,1,,,,,124
2021-04-01,1,,1,,3,2,3,2,5,9,7,11,17,7,15,13,11,3,3,,,,,,113
2021-04-02,2,1,1,1,3,3,4,5,5,8,12,14,21,7,14,17,12,4,3,1,,,,,138
2021-04-03,1,,,1,4,3,6,3,4,8,11,9,14,16,16,9,7,10,2,2,,,,,126
2021-04-04,5,,,1,1,3,6,3,5,8,9,7,17,12,12,18,8,3,7,1,,,,,126
2021-04-05,,,,1,,1,5,1,5,4,13,12,8,14,7,8,10,5,3,1,,,,,98
2021-04-06,,,,3,,3,2,3,4,7,7,11,10,13,7,12,13,8,6,,,,,,109
2021-04-07,2,,,1,2,4,3,4,4,8,5,11,9,14,15,9,17,8,1,1,,,,,118
2021-04-08,,,1,,,2,,4,8,16,12,10,15,14,12,7,13,6,4,1,1,,,,126
2021-04-09,3,,,,3,2,1,5,4,10,11,13,25,16,21,21,11,8,3,2,,,,,159
2021-04-10,2,,,,,2,4,5,5,11,6,7,16,15,19,11,10,7,4,1,,,,,125
2021-04-11,1,1,,1,2,2,3,5,4,8,11,11,8,14,18,13,8,3,5,3,,,,,121
2021-04-12,1,,,,1,2,3,2,5,13,13,17,17,13,18,18,10,7,6,,1,,,,147
2021-04-13,1,,,,2,2,2,3,6,9,13,15,14,20,14,11,12,4,2,1,,,,,131
2021-04-14,,1,1,1,2,7,1,9,8,9,12,18,15,18,18,11,13,8,2,,,,,,154
2021-04-15,,,1,,,2,1,6,5,7,7,11,18,14,22,15,10,6,1,1,,,,,127
2021-04-16,2,1,,,3,4,5,3,6,9,12,17,21,27,14,14,16,8,8,1,,,,,171
2021-04-17,3,,1,1,4,3,3,2,8,9,12,16,24,19,25,14,8,8,5,1,1,,,,167
2021-04-18,5,,,4,2,1,3,4,8,10,18,15,24,17,19,13,15,7,6,,,,,,171
2021-04-19,6,,,,2,3,3,9,7,9,4,18,18,29,23,10,21,13,3,2,,,,,180
2021-04-20,2,,,1,1,4,5,3,7,7,13,19,21,20,29,15,13,7,2,3,,,,,172
2021-04-21,3,,,1,1,,3,7,6,12,13,18,24,34,23,21,16,13,4,2,1,,,,202
2021-04-22,2,,,,3,3,2,11,13,10,17,16,26,28,31,19,18,10,2,,,,,,211
2021-04-23,1,,2,,,1,6,7,10,13,12,26,31,31,28,24,21,8,6,1,,,,,228
2021-04-24,1,,,,3,1,7,8,9,8,10,25,24,29,36,22,19,12,4,,,,,,218
2021-04-25,1,,1,1,2,,4,6,9,6,15,25,29,25,32,21,26,18,7,3,,,,,231
2021-04-26,1,,1,,,6,5,8,13,24,31,25,26,36,32,27,20,17,8,1,1,,,,282
2021-04-27,,1,2,2,3,2,6,9,11,13,23,26,31,34,49,25,20,7,9,1,,,,,274
2021-04-28,1,,,,,5,10,5,12,21,22,23,32,29,39,28,21,24,9,3,,,,,284
2021-04-29,4,,,,1,4,6,14,14,17,22,32,42,37,41,25,27,15,6,,1,,,,308
2021-04-30,1,1,,1,6,3,2,13,17,15,29,31,31,36,32,31,23,11,6,1,,,,,290
2021-05-01,4,,,,1,2,8,8,14,21,23,23,32,37,39,28,30,16,4,3,,,,,293
2021-05-02,10,1,,,2,3,3,9,18,16,32,27,36,37,33,32,30,9,4,,,,,,302
2021-05-03,2,,1,1,1,2,5,8,18,29,33,42,40,56,49,37,32,19,11,1,,,,,387
2021-05-04,2,,,1,3,7,7,10,17,22,30,41,38,47,50,28,24,22,5,,,,,,354
2021-05-05,3,,1,1,,,12,20,17,26,33,31,48,49,31,33,34,17,5,1,,,,,362
2021-05-06,4,,,,1,4,5,15,14,15,16,28,30,42,39,33,30,22,6,5,1,,,,310
2021-05-07,4,,1,1,5,4,8,9,7,20,24,33,34,47,52,36,36,17,3,2,,,,,343
2021-05-08,2,,1,2,2,2,6,10,10,29,30,29,35,46,48,40,32,15,5,1,,,,,345
2021-05-09,1,,,2,4,1,7,16,16,17,29,41,38,47,40,31,25,18,8,,1,,,,342
2021-05-10,3,,,2,1,2,9,11,20,32,30,43,50,46,48,37,30,22,2,,,,,,388
2021-05-11,1,,,,1,5,8,11,18,31,24,33,37,38,54,34,26,22,11,2,,,,,356
2021-05-12,3,,,,3,5,5,14,14,26,28,30,39,38,45,40,26,14,10,4,2,,,,346
2021-05-13,2,,,,,3,3,8,17,21,38,34,57,45,38,39,29,13,12,1,,,,,360
2021-05-14,4,,,2,2,2,12,13,13,21,34,38,30,50,29,34,31,24,10,4,,,,,353
2021-05-15,1,,1,2,,4,10,10,22,21,22,35,42,43,60,29,26,26,6,3,1,,,,364
2021-05-16,3,,,1,,7,9,11,12,19,19,29,33,52,37,26,24,18,5,,,,,,305
2021-05-17,1,,,,3,2,5,14,9,18,32,33,45,45,52,31,27,15,9,3,,,,,344
2021-05-18,,1,1,2,,3,5,12,13,24,22,33,29,50,41,47,32,12,6,1,,,,,334
2021-05-19,6,,1,2,4,3,9,13,19,18,23,30,42,35,35,35,21,17,3,2,,,,,318
2021-05-20,5,,,,,,8,12,21,16,26,39,40,49,42,20,35,21,8,6,,,,,348
2021-05-21,,1,,1,,7,7,11,11,15,31,28,33,39,36,23,42,15,6,,,,,,306
2021-05-22,3,,,1,1,2,4,7,12,21,22,21,30,35,30,24,20,11,8,3,,,,,255
2021-05-23,2,,,,,3,16,11,11,14,14,32,23,29,46,19,17,12,1,2,,,,,252
2021-05-24,,1,1,,2,2,6,11,16,24,25,29,26,28,34,27,16,18,6,1,,,,,273
2021-05-25,1,1,,,,,6,12,22,12,21,30,40,25,33,19,14,10,7,,1,,,,254
2021-05-26,2,,,,2,3,6,10,16,14,26,23,25,31,36,28,13,13,9,,,,,,257
2021-05-27,2,,1,,1,4,7,10,19,18,15,20,27,25,27,12,18,17,3,2,,,,,228
2021-05-28,4,,,,1,5,11,7,10,15,13,27,16,28,39,17,18,6,6,2,,,,,225
2021-05-29,,,1,,,2,5,8,6,12,14,22,26,30,28,23,11,9,5,3,2,,,,207
2021-05-30,,,,,1,2,4,10,8,15,19,15,33,26,24,15,7,9,5,4,,,,,197
2021-05-31,1,,,,,3,4,9,7,7,19,17,21,24,31,13,13,11,5,1,,,,,186
2021-06-01,3,,1,,1,1,2,6,11,8,15,11,24,21,22,16,17,13,2,2,,,,,176
2021-06-02,2,1,,,,3,4,5,6,19,17,16,15,20,19,13,14,10,3,1,1,,,,169
2021-06-03,,,,,1,2,5,2,7,17,8,17,19,30,17,20,20,6,4,,,,,,175
2021-06-04,3,1,,,,2,7,9,1,4,11,10,21,9,13,15,11,6,1,,,,,,124
2021-06-05,3,,,2,,3,4,5,5,8,8,8,7,12,12,13,12,5,3,,,,,,110
2021-06-06,2,,,,,1,4,6,7,12,7,9,14,10,7,10,4,5,,1,1,,,,100
2021-06-07,1,,,,1,3,2,3,9,4,8,8,15,16,10,13,7,4,1,1,,,,,106
2021-06-08,1,1,,1,,3,2,1,1,7,7,13,15,11,19,5,6,7,,,,,,,100
2021-06-09,2,1,1,,,2,2,6,9,7,7,11,12,12,15,5,6,4,,,,,,,102
2021-06-10,,,,1,,1,1,2,5,6,9,5,10,12,11,8,14,5,2,,,,,,92
2021-06-11,3,,1,,1,,5,3,5,8,13,9,8,11,8,4,3,2,,1,,,,,85
2021-06-12,4,,,1,1,3,3,5,4,3,9,5,7,13,6,3,4,8,3,2,,,,,84
2021-06-13,1,,,,,1,4,3,1,6,5,5,6,7,5,6,4,3,,,,,,,57
2021-06-14,3,1,,,,,3,5,3,6,7,10,10,7,3,6,2,3,,,,,,,69
2021-06-15,1,,,,1,,2,,6,9,3,7,7,10,4,4,4,4,1,,,,,,63
2021-06-16,5,,,,,1,2,3,6,3,9,8,3,4,6,4,4,4,2,,,,,,64
2021-06-17,,,,,,3,1,4,,1,1,2,4,3,7,4,3,3,,,,,,,36
2021-06-18,1,,,,,,1,2,,,3,6,1,2,3,2,,1,1,1,,,,,24
2021-06-19,,,,,,,2,,,,1,3,3,1,1,1,,,,,,,,,12
2021-06-20,,,,1,,1,,2,1,,1,1,1,1,3,1,,1,,,,,,,14
2021-06-21,,,,,,,,,1,1,,3,,,1,,,,,,,,,,6
2021-06-22,,,,,,,,,,,,,1,,,,,,,,,,,,1
