death_date, 0-4, 5-9, 10-14, 15-19, 20-24, 25-29, 30-34, 35-39, 40-44, 45-49, 50-54, 55-59, 60-64, 65-69, 70-74, 75-79, 80-84, 85-89, 90-94, 95-99, 100-104, 105-109, 110-114, 115-119
2015-01-01,300.0,24.0,25.0,59.0,103.0,133.0,142.0,202.0,213.0,327,357,486,510,546,499,463,471,336,191.0,71.0,13.0,0.0,0.0,0.0
2015-02-01,197.0,29.0,30.0,60.0,96.0,113.0,136.0,193.0,227.0,311,328,392,449,453,420,446,393,258,141.0,49.0,11.0,3.0,0.0,0.0
2015-03-01,240.0,27.0,18.0,55.0,104.0,134.0,142.0,182.0,187.0,324,370,426,458,485,475,427,421,317,153.0,53.0,7.0,0.0,0.0,0.0
2015-04-01,181.0,28.0,36.0,60.0,95.0,138.0,131.0,171.0,217.0,302,308,392,355,415,419,393,397,261,126.0,37.0,7.0,0.0,0.0,0.0
2015-05-01,140.0,26.0,29.0,75.0,132.0,133.0,149.0,222.0,234.0,325,333,427,450,485,467,458,386,368,173.0,60.0,13.0,2.0,0.0,0.0
2015-06-01,162.0,17.0,18.0,57.0,99.0,140.0,156.0,170.0,241.0,305,316,437,409,429,487,398,363,274,150.0,52.0,7.0,1.0,0.0,0.0
2015-07-01,130.0,15.0,18.0,53.0,107.0,136.0,141.0,191.0,198.0,303,330,407,417,430,410,367,376,291,140.0,47.0,11.0,2.0,1.0,0.0
2015-08-01,148.0,14.0,27.0,66.0,101.0,134.0,162.0,164.0,233.0,311,307,385,372,479,415,354,384,245,138.0,39.0,6.0,3.0,0.0,0.0
2015-09-01,170.0,18.0,17.0,56.0,116.0,115.0,143.0,175.0,244.0,342,327,395,392,403,392,397,342,252,120.0,40.0,3.0,1.0,1.0,0.0
2015-10-01,183.0,16.0,30.0,62.0,113.0,133.0,169.0,201.0,237.0,344,343,425,443,496,455,453,393,291,131.0,58.0,8.0,2.0,1.0,0.0
2015-11-01,233.0,45.0,36.0,63.0,91.0,142.0,145.0,213.0,237.0,380,403,469,531,617,549,579,568,408,226.0,69.0,13.0,1.0,0.0,0.0
2015-12-01,217.0,34.0,36.0,73.0,111.0,119.0,137.0,197.0,258.0,377,451,498,525,636,583,620,555,427,200.0,75.0,15.0,4.0,1.0,0.0
2016-01-01,226.0,35.0,38.0,58.0,96.0,142.0,144.0,170.0,256.0,328,340,475,549,557,533,555,494,373,206.0,64.0,16.0,2.0,0.0,0.0
2016-02-01,205.0,27.0,19.0,47.0,71.0,126.0,137.0,166.0,217.0,302,364,402,447,480,458,393,403,321,152.0,33.0,8.0,1.0,0.0,0.0
2016-03-01,119.0,21.0,19.0,66.0,102.0,116.0,132.0,180.0,222.0,310,340,380,458,465,431,414,390,280,147.0,49.0,7.0,1.0,0.0,0.0
2016-04-01,145.0,27.0,33.0,41.0,103.0,129.0,132.0,179.0,252.0,287,328,402,396,450,469,403,391,293,130.0,39.0,6.0,2.0,2.0,0.0
2016-05-01,129.0,21.0,27.0,72.0,106.0,140.0,183.0,208.0,238.0,308,364,422,486,528,481,462,376,334,156.0,52.0,10.0,3.0,0.0,0.0
2016-06-01,113.0,13.0,20.0,70.0,108.0,117.0,150.0,180.0,227.0,306,328,428,451,473,430,400,366,265,148.0,48.0,10.0,3.0,0.0,0.0
2016-07-01,102.0,25.0,13.0,58.0,93.0,124.0,150.0,174.0,208.0,326,367,397,451,464,484,435,386,304,132.0,52.0,7.0,3.0,2.0,0.0
2016-08-01,111.0,22.0,23.0,61.0,105.0,129.0,162.0,172.0,235.0,306,330,372,460,520,452,409,377,256,155.0,44.0,7.0,0.0,0.0,0.0
2016-09-01,125.0,17.0,21.0,52.0,95.0,140.0,134.0,195.0,213.0,321,327,428,380,476,451,449,362,255,124.0,44.0,5.0,2.0,0.0,0.0
2016-10-01,114.0,18.0,23.0,66.0,74.0,114.0,148.0,175.0,220.0,317,340,392,431,488,443,390,359,256,127.0,35.0,1.0,0.0,0.0,0.0
2016-11-01,110.0,22.0,18.0,61.0,94.0,109.0,114.0,187.0,196.0,312,346,421,451,506,466,423,379,295,154.0,48.0,7.0,3.0,1.0,0.0
2016-12-01,131.0,19.0,18.0,58.0,92.0,105.0,156.0,206.0,229.0,348,370,471,541,599,515,481,451,361,199.0,45.0,8.0,2.0,0.0,0.0
2017-01-01,98.0,18.0,24.0,81.0,112.0,135.0,171.0,197.0,252.0,372,448,497,554,583,579,540,508,366,196.0,62.0,9.0,3.0,1.0,0.0
2017-02-01,141.0,24.0,28.0,57.0,102.0,144.0,128.0,173.0,214.0,325,331,438,446,532,454,449,452,308,145.0,46.0,10.0,1.0,0.0,0.0
2017-03-01,136.0,25.0,22.0,55.0,107.0,123.0,117.0,169.0,225.0,310,354,418,482,562,475,482,423,290,140.0,54.0,8.0,1.0,0.0,0.0
2017-04-01,115.0,18.0,28.0,49.0,96.0,120.0,123.0,167.0,196.0,297,353,397,406,470,458,484,387,304,135.0,45.0,6.0,0.0,0.0,0.0
2017-05-01,125.0,23.0,23.0,65.0,119.0,135.0,157.0,194.0,228.0,333,405,456,535,626,560,550,480,377,161.0,77.0,7.0,1.0,0.0,0.0
2017-06-01,114.0,16.0,18.0,62.0,116.0,125.0,134.0,154.0,206.0,336,380,484,439,500,482,478,415,320,160.0,47.0,5.0,2.0,1.0,0.0
2017-07-01,203.0,30.0,29.0,65.0,106.0,150.0,143.0,195.0,223.0,369,360,444,536,526,486,476,388,295,143.0,71.0,9.0,2.0,0.0,0.0
2017-08-01,219.0,42.0,33.0,79.0,93.0,130.0,135.0,197.0,228.0,327,386,432,497,559,455,454,386,284,142.0,38.0,7.0,0.0,0.0,0.0
2017-09-01,224.0,48.0,42.0,67.0,90.0,125.0,151.0,188.0,248.0,338,442,498,569,613,531,467,461,352,185.0,56.0,7.0,1.0,0.0,1.0
2017-10-01,224.0,52.0,38.0,100.0,107.0,178.0,155.0,206.0,235.0,375,369,476,483,550,549,493,459,354,173.0,59.0,9.0,1.0,0.0,0.0
2017-11-01,191.0,29.0,23.0,71.0,85.0,121.0,143.0,168.0,275.0,342,378,491,493,588,540,534,485,353,162.0,61.0,7.0,3.0,2.0,0.0
2017-12-01,169.0,23.0,29.0,55.0,101.0,110.0,162.0,177.0,222.0,351,407,467,520,584,547,499,473,386,184.0,50.0,7.0,1.0,0.0,0.0
2018-01-01,177.0,44.0,23.0,63.0,116.0,109.0,159.0,177.0,230.0,314,371,495,538,619,610,499,495,383,196.0,74.0,13.0,0.0,1.0,0.0
2018-02-01,149.0,55.0,36.0,54.0,73.0,142.0,124.0,195.0,198.0,331,374,438,515,557,508,507,442,358,180.0,53.0,4.0,3.0,0.0,0.0
2018-03-01,199.0,40.0,36.0,65.0,97.0,110.0,116.0,196.0,217.0,306,347,421,473,514,518,489,442,309,131.0,55.0,10.0,0.0,0.0,1.0
2018-04-01,175.0,52.0,36.0,49.0,94.0,97.0,142.0,164.0,187.0,317,347,381,457,497,486,422,396,289,141.0,41.0,4.0,1.0,0.0,0.0
2018-05-01,199.0,43.0,32.0,65.0,112.0,106.0,142.0,196.0,218.0,320,354,453,505,522,504,466,421,292,118.0,39.0,12.0,2.0,0.0,1.0
2018-06-01,171.0,60.0,37.0,76.0,119.0,108.0,138.0,199.0,227.0,316,348,440,477,549,493,498,375,285,135.0,59.0,5.0,2.0,0.0,0.0
2018-07-01,139.0,52.0,34.0,59.0,109.0,132.0,142.0,202.0,223.0,304,369,464,509,497,555,462,391,295,125.0,40.0,9.0,1.0,0.0,0.0
2018-08-01,183.0,38.0,28.0,58.0,116.0,136.0,160.0,188.0,200.0,315,366,438,466,477,505,367,329,243,126.0,40.0,5.0,0.0,0.0,0.0
2018-09-01,177.0,43.0,36.0,76.0,101.0,112.0,141.0,161.0,191.0,307,379,421,460,474,493,435,381,257,115.0,45.0,5.0,1.0,0.0,0.0
2018-10-01,166.0,55.0,39.0,66.0,112.0,121.0,159.0,185.0,228.0,365,437,511,563,587,561,495,462,307,135.0,41.0,6.0,3.0,0.0,0.0
2018-11-01,162.0,53.0,43.0,51.0,90.0,148.0,140.0,200.0,250.0,349,429,525,598,586,627,546,476,343,161.0,40.0,10.0,0.0,0.0,0.0
2018-12-01,155.0,54.0,29.0,71.0,111.0,151.0,130.0,187.0,234.0,365,432,457,571,621,556,526,475,372,150.0,48.0,7.0,1.0,0.0,0.0
2019-01-01,208.0,20.0,29.0,84.0,113.0,142.0,132.0,201.0,246.0,351,439,484,627,665,665,536,521,410,177.0,67.0,10.0,2.0,0.0,0.0
2019-02-01,175.0,33.0,34.0,48.0,92.0,121.0,117.0,181.0,205.0,300,357,448,476,550,571,477,408,316,124.0,47.0,5.0,2.0,0.0,0.0
2019-03-01,221.0,20.0,22.0,73.0,106.0,133.0,141.0,196.0,248.0,354,394,441,502,543,536,475,456,329,150.0,37.0,8.0,1.0,1.0,0.0
2019-04-01,173.0,27.0,13.0,54.0,96.0,118.0,131.0,171.0,192.0,300,355,427,458,473,456,500,413,307,163.0,53.0,5.0,0.0,0.0,0.0
2019-05-01,216.0,14.0,30.0,67.0,116.0,134.0,156.0,215.0,233.0,339,412,492,535,589,580,560,462,351,151.0,72.0,8.0,3.0,0.0,0.0
2019-06-01,215.0,32.0,20.0,78.0,110.0,143.0,149.0,215.0,231.0,359,375,508,572,630,702,617,532,401,202.0,73.0,3.0,2.0,0.0,0.0
2019-07-01,207.0,14.0,26.0,49.0,108.0,130.0,112.0,184.0,209.0,355,377,463,469,524,560,457,394,300,121.0,43.0,3.0,1.0,0.0,0.0
2019-08-01,230.0,20.0,25.0,58.0,100.0,122.0,131.0,197.0,244.0,345,400,494,493,572,509,477,405,339,139.0,50.0,6.0,0.0,0.0,0.0
2019-09-01,251.0,24.0,38.0,54.0,95.0,107.0,164.0,202.0,240.0,346,391,454,530,574,546,467,396,321,157.0,51.0,5.0,1.0,0.0,0.0
2019-10-01,278.0,40.0,32.0,54.0,105.0,115.0,152.0,200.0,231.0,378,428,503,581,604,620,572,505,347,186.0,70.0,9.0,2.0,0.0,0.0
2019-11-01,203.0,21.0,32.0,51.0,78.0,123.0,142.0,209.0,236.0,364,433,501,582,689,658,586,536,389,197.0,71.0,10.0,0.0,0.0,0.0
2019-12-01,199.0,23.0,16.0,56.0,101.0,113.0,144.0,191.0,236.0,350,423,487,573,628,601,546,510,344,166.0,64.0,10.0,0.0,0.0,0.0
2020-01-01,196.0,12.0,20.0,60.0,104.0,116.0,167.0,175.0,263.0,350,441,478,559,592,641,531,514,360,172.0,66.0,9.0,2.0,1.0,0.0
2020-02-01,181.0,18.0,23.0,46.0,78.0,99.0,132.0,166.0,223.0,271,373,451,554,563,612,466,467,319,161.0,61.0,8.0,3.0,0.0,0.0
2020-03-01,179.0,17.0,17.0,35.0,78.0,82.0,120.0,164.0,201.0,277,335,448,503,545,538,462,433,306,160.0,53.0,12.0,4.0,0.0,0.0
2020-04-01,120.0,7.0,15.0,34.0,29.0,61.0,71.0,99.0,145.0,222,277,307,396,476,514,426,423,282,146.0,60.0,2.0,1.0,0.0,0.0
2020-05-01,159.0,13.0,16.0,31.0,65.0,99.0,107.0,143.0,236.0,295,427,539,706,768,853,722,671,417,217.0,62.0,9.0,1.0,0.0,0.0
2020-06-01,137.0,9.0,18.0,29.0,51.0,77.0,123.0,165.0,277.0,368,515,707,833,1008,1089,843,757,491,247.0,76.0,14.0,1.0,0.0,0.0
2020-07-01,148.0,9.0,11.0,41.0,65.0,89.0,101.0,162.0,231.0,326,448,584,701,735,781,688,584,365,206.0,50.0,9.0,2.0,0.0,0.0
2020-08-01,176.0,11.0,20.0,42.0,65.0,106.0,122.0,189.0,254.0,344,510,652,703,743,899,703,572,398,198.0,63.0,14.0,2.0,0.0,0.0
2020-09-01,178.0,22.0,24.0,41.0,84.0,126.0,146.0,200.0,270.0,416,547,650,806,793,872,662,645,388,178.0,55.0,8.0,2.0,1.0,0.0
2020-10-01,168.0,20.0,18.0,48.0,71.0,98.0,142.0,192.0,257.0,347,448,623,751,762,867,651,608,383,198.0,51.0,8.0,3.0,2.0,0.0
2020-11-01,177.0,25.0,20.0,58.0,80.0,102.0,118.0,164.0,238.0,343,423,505,621,658,818,607,542,394,177.0,49.0,12.0,2.0,0.0,1.0
2020-12-01,170.0,19.0,25.0,48.0,88.0,98.0,130.0,165.0,258.0,368,475,560,672,755,823,674,680,439,225.0,66.0,9.0,0.0,0.0,0.0
2021-01-01,151.0,17.0,25.0,61.0,98.0,106.0,131.0,178.0,265.0,335,391,541,632,690,735,603,559,364,251.0,64.0,6.0,0.0,0.0,0.0
2021-02-01,108.0,16.0,26.0,49.0,90.0,83.0,111.0,156.0,211.0,315,367,486,548,586,623,516,449,302,166.0,52.0,8.0,1.0,0.0,0.0
2021-03-01,141.0,16.0,23.0,50.0,78.0,95.0,117.0,189.0,240.0,345,434,549,594,661,702,562,524,317,167.0,54.0,6.0,1.0,0.0,0.0
2021-04-01,105.0,12.0,22.0,50.0,82.0,125.0,173.0,233.0,343.0,536,682,942,1137,1164,1253,962,885,525,269.0,89.0,14.0,0.0,0.0,0.0
2021-05-01,152.0,12.0,19.0,41.0,86.0,181.0,372.0,570.0,813.0,1139,1533,2038,2393,2548,2747,1939,1752,1105,479.0,143.0,25.0,1.0,0.0,0.0
2021-06-01,121.0,16.0,25.0,34.0,50.0,100.0,152.0,245.0,310.0,468,557,680,823,831,804,634,564,368,173.0,57.0,10.0,2.0,0.0,0.0
